star_id,planet_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,snr,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag
8815031,K08171.01,FALSE POSITIVE,472.6038,12.15,672.0,2.28,218.0,0.54,7.7,5764.0,4.548,0.863,290.36932,45.009258,15.975
8813404,K08170.01,FALSE POSITIVE,374.80095,10.691,144.4,1.53,286.0,1.59,11.4,5804.0,4.214,1.234,289.75296,45.00629,12.283
8808064,K08169.01,FALSE POSITIVE,447.97028,10.857,512.7,2.0,230.0,0.67,9.2,5911.0,4.53,0.887,287.10013,45.00631,15.152
8766268,K08168.01,FALSE POSITIVE,5.29731736,3.341,167.5,1.13,989.0,226.1,8.7,5815.0,4.54,0.877,296.42264,44.976181,15.654
8748435,K08167.01,FALSE POSITIVE,259.85736,24.04,307.7,1.33,237.0,0.74,14.2,5374.0,4.61,0.744,289.86804,44.96003,14.458
8743244,K08166.02,FALSE POSITIVE,365.61087,16.102,1116.0,4.42,273.0,1.32,12.3,6060.0,4.408,1.068,287.33807,44.918709,15.386
8743244,K08166.01,FALSE POSITIVE,346.31688,21.92,1435.0,5.21,278.0,1.42,17.0,6060.0,4.408,1.068,287.33807,44.918709,15.386
8742735,K08165.01,FALSE POSITIVE,331.92622,10.84,809.0,2.25,235.0,0.72,8.7,5652.0,4.577,0.798,287.04742,44.987968,15.986
8740744,K08164.01,FALSE POSITIVE,417.829033,15.05,500.8,2.19,248.0,0.9,8.9,6018.0,4.485,0.975,285.94116,44.994148,15.499
8708961,K08163.01,CANDIDATE,370.98253,17.84,552.3,119.96,338.0,3.07,15.7,6028.0,4.013,1.63,298.21265,44.80479,13.936
8683144,K08162.01,FALSE POSITIVE,267.970682,11.48,357.7,1.7,280.0,1.45,10.4,6008.0,4.519,0.897,289.48599,44.886089,14.077
8630840,K08161.01,FALSE POSITIVE,370.38642,23.94,186.2,2.12,328.0,2.74,13.9,6179.0,4.134,1.555,294.13348,44.71735,13.732
8618147,K08160.01,FALSE POSITIVE,345.128277,15.925,324.4,1.94,282.0,1.5,11.4,6214.0,4.442,1.076,289.29507,44.71656,14.495
8608544,K08159.02,CANDIDATE,353.01861,15.583,375.1,2.25,301.0,1.93,14.9,6450.0,4.386,1.155,284.19217,44.762112,13.971
8608544,K08159.01,FALSE POSITIVE,348.68162,10.959,309.3,2.09,302.0,1.96,11.9,6450.0,4.386,1.155,284.19217,44.762112,13.971
