planet_id,star_id,disposition,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temp,insolation_flux,stellar_teff,stellar_logg,stellar_radius,ra,dec,stellar_mag,stellar_dist,disposition_aligned
742.01,373424049,FP,0.963081,2.378514,244.261214,2.727644,3166.006188,23744.773941,8688.0,4.32187,1.68698,140.056794,-53.119685,8.6333,227.265,FALSE POSITIVE
7420.01,259188347,PC,25.5249554,3.66,50048.0,,,,,,,350.770489,38.468237,13.4473,265.273,CANDIDATE
7421.01,354478327,PC,0.3489261,0.31,1107.0,5.03606,1793.0,1715.88,5086.7,4.59,0.78,358.147057,37.52044,12.0377,208.617,CANDIDATE
7422.01,302477411,PC,3.3593261,5.044,4811.0,15.4019,1724.0,1466.55,5547.0,3.69,2.34,41.879119,53.286479,13.2807,1044.42,CANDIDATE
7423.01,279871772,PC,2.889977,2.528,466.0,2.56976,1445.0,724.197,5949.0,4.27,1.26,354.282479,66.823475,10.8701,263.949,CANDIDATE
7424.01,61520064,PC,3.1271505,2.492,4435.0,6.0926,1255.0,412.075,5414.0,4.49,0.91,25.305352,32.400416,12.7599,400.632,CANDIDATE
7425.01,285592400,PC,1.2815706,2.23,13655.0,18.9642,2043.0,2895.35,6327.0,4.12,1.6,13.132258,64.334238,12.0637,516.534,CANDIDATE
7426.01,186530554,PC,0.766526,0.927,3529.0,8.27135,1688.0,1349.72,5978.7,4.3,1.23,21.022361,38.015562,12.8474,660.292,CANDIDATE
7427.01,422707559,PC,3.5254649,1.013,4544.0,14.1926,722.0,45.1515,5366.0,3.98,1.63,355.019701,68.457971,12.8449,619.561,CANDIDATE
7428.01,13036318,PC,3.1467998,2.128,1939.0,4.88984,1841.0,1907.06,5525.0,4.65,0.78,343.851366,64.445455,12.2457,266.705,CANDIDATE
7429.01,436875993,PC,4.7117395,2.216,3703.0,10.4295,1077.0,223.364,6134.0,4.06,1.67,42.720863,28.873576,13.0455,905.298,CANDIDATE
743.01,434486077,PC,2.2284671,1.5708912,15402.4299594,10.9560053,1125.0679205,378.6482626,5156.0,4.46838,0.824288,156.572646,-23.508063,14.3858,638.972,CANDIDATE
7430.01,264193444,PC,21.4930896,3.609,1244.0,2.38489,501.0,10.4619,4734.0,4.61,0.72,318.657209,78.97961,11.7258,149.191,CANDIDATE
7431.01,347018922,PC,1.1919382,1.404,2692.0,9.57462,1636.0,1190.99,5858.0,3.92,1.87,1.114757,57.32207,13.0852,907.36,CANDIDATE
7432.01,192321638,PC,7.0309061,5.12,3270.0,12.8728,1373.0,590.734,6301.0,3.77,2.39,45.658813,46.40087,12.7717,1267.7,CANDIDATE
7433.01,450012972,PC,1.8179336,3.057,11040.0,18.2536,2182.0,3764.08,6725.0,4.09,1.78,9.433012,57.174841,12.3606,845.779,CANDIDATE
7434.01,250478345,PC,2.4228387,1.829,1617.0,7.64515,1894.0,2140.15,8409.0,4.19,1.92,30.923717,53.90057,12.1594,1128.72,CANDIDATE
7435.01,77258176,PC,4.6821297,4.503,2890.0,10.7143,1399.0,636.265,5565.5,3.83,2.0,40.817122,32.304446,12.9096,823.284,CANDIDATE
7436.01,305830609,PC,4.0616142,2.202,1882.0,13.9054,1249.0,405.221,6525.0,3.54,3.26,12.93336,48.580641,12.1625,1372.43,CANDIDATE
7437.01,73692250,PC,2.5726086,0.927,50028.0,13.0131,493.0,9.86195,3163.0,4.88,0.34,40.081778,35.410409,13.9856,84.913,CANDIDATE
7438.01,387527174,PC,1.1253333,2.394,11926.0,18.1986,2130.0,3420.01,5972.0,4.03,1.68,312.279803,71.381781,13.48,887.927,CANDIDATE
7439.01,335037151,PC,3.5466109,1.84,4463.0,15.6622,1677.0,1314.84,6309.0,4.23,1.41,331.97599,64.138385,13.1632,728.879,CANDIDATE
7440.01,252045206,PC,34.0796886,4.571,22876.0,9.39807,402.0,4.373,4517.4,4.66,0.66,353.571408,56.443492,13.441,268.804,CANDIDATE
7441.01,467602108,PC,2.2351679,1.735,16302.0,14.0205,1349.0,550.693,6229.6,4.45,1.08,48.408615,30.728857,13.1634,647.797,CANDIDATE
7442.01,196389062,PC,2.6358758,2.938,7574.0,14.7769,1775.0,1650.59,6639.0,4.08,1.78,14.91291,46.146486,13.4818,1449.97,CANDIDATE
7443.01,22659404,PC,2.7472062,2.548,12816.0,11.9193,1309.0,487.593,5528.0,4.32,1.13,28.345661,30.310019,12.7658,510.039,CANDIDATE
7444.01,470898625,PC,5.885604,1.87,4046.0,18.5216,902.0,110.217,6294.0,3.66,2.72,42.316239,58.769522,11.8286,763.361,CANDIDATE
7445.01,245665919,PC,6.2144045,2.994,4499.0,,,,,,,40.185561,58.078412,11.1082,217.37,CANDIDATE
7446.01,374122973,PC,3.5044728,2.087,19700.0,13.2582,1014.0,175.819,5367.0,4.43,0.97,31.293062,60.003144,13.4348,463.191,CANDIDATE
7447.01,400503123,PC,1.5016329,1.894,3134.0,9.50525,2090.0,3173.31,7284.0,4.12449,1.84,25.150762,56.057726,10.6796,431.132,CANDIDATE
